Priority,Subject,TopicName,TopicPath,TotalQuestions,IncludedQuestions,SupportRate,IsStub,Status,Note,UpdatedAt
0,臨床血液學與血庫學,ABO與H血型系統,臨床血液學與血庫學/_topics/ABO與H血型系統.md,30,30,1.0000,False,Completed,Deployed successfully,2026-07-05 18:45
0,臨床血液學與血庫學,急性骨髓性白血病 (AML),臨床血液學與血庫學/_topics/急性骨髓性白血病 (AML).md,30,30,1.0000,False,Completed,Deployed successfully,2026-07-05 19:26
0,微生物學與臨床微生物學,厭氧菌,微生物學與臨床微生物學/_topics/厭氧菌.md,29,29,1.0000,False,Completed,Deployed successfully,2026-07-05 15:57
0,微生物學與臨床微生物學,微生物學總論與細菌結構,微生物學與臨床微生物學/_topics/微生物學總論與細菌結構.md,29,29,1.0000,False,Completed,Deployed successfully,2026-07-05 17:30
0,微生物學與臨床微生物學,微生物檢驗技術：染色與鏡檢,微生物學與臨床微生物學/_topics/微生物檢驗技術：染色與鏡檢.md,29,29,1.0000,False,Completed,Deployed successfully,2026-07-03 16:07
0,微生物學與臨床微生物學,革蘭氏陽性桿菌：產孢菌,微生物學與臨床微生物學/_topics/革蘭氏陽性桿菌：產孢菌.md,28,28,1.0000,False,Completed,Deployed successfully,2026-07-05 20:06
0,生物化學與臨床生化學,生化相關之分子診斷學原理,生物化學與臨床生化學/_topics/生化相關之分子診斷學原理.md,28,28,1.0000,False,Completed,Deployed successfully,2026-07-05 20:09
0,臨床生理學與病理學,環境與營養病理學,臨床生理學與病理學/_topics/環境與營養病理學.md,28,28,1.0000,False,Completed,Deployed successfully,2026-07-05 21:30
0,臨床生理學與病理學,神經生理學：肌電圖（EMG）與神經傳導（NCV）,臨床生理學與病理學/_topics/神經生理學：肌電圖（EMG）與神經傳導（NCV）.md,28,28,1.0000,False,Pending,,
0,醫學分子檢驗學與臨床鏡檢學,痰液與其他體液鏡檢,醫學分子檢驗學與臨床鏡檢學/_topics/痰液與其他體液鏡檢.md,28,28,1.0000,False,Completed,Deployed successfully,2026-07-05 20:13
0,微生物學與臨床微生物學,腸內菌科：克雷伯氏菌、腸桿菌、沙雷氏菌與其他,微生物學與臨床微生物學/_topics/腸內菌科：克雷伯氏菌、腸桿菌、沙雷氏菌與其他.md,27,27,1.0000,False,Completed,Deployed successfully,2026-07-05 19:03
0,微生物學與臨床微生物學,革蘭氏陽性桿菌：非產孢菌,微生物學與臨床微生物學/_topics/革蘭氏陽性桿菌：非產孢菌.md,27,27,1.0000,False,Completed,Deployed successfully,2026-07-05 18:34
0,微生物學與臨床微生物學,革蘭氏陽性球菌：鏈球菌屬與腸球菌屬,微生物學與臨床微生物學/_topics/革蘭氏陽性球菌：鏈球菌屬與腸球菌屬.md,27,27,1.0000,False,Completed,Deployed successfully,2026-07-05 19:09
0,微生物學與臨床微生物學,腸內菌科：大腸桿菌、志賀氏菌與沙門氏菌,微生物學與臨床微生物學/_topics/腸內菌科：大腸桿菌、志賀氏菌與沙門氏菌.md,26,26,1.0000,False,Completed,Deployed successfully,2026-07-05 21:48
0,生物化學與臨床生化學,鐵、銅及其他微量元素,生物化學與臨床生化學/_topics/鐵、銅及其他微量元素.md,26,26,1.0000,False,Completed,Deployed successfully,2026-07-05 20:17
0,臨床生理學與病理學,超音波學：臨床應用與影像判讀,臨床生理學與病理學/_topics/超音波學：臨床應用與影像判讀.md,26,26,1.0000,False,Pending,,
0,臨床血液學與血庫學,貧血的鑑別診斷與紅血球參數判讀,臨床血液學與血庫學/_topics/貧血的鑑別診斷與紅血球參數判讀.md,26,26,1.0000,False,Completed,Deployed successfully,2026-07-05 20:24
0,生物化學與臨床生化學,肝膽功能酵素指標,生物化學與臨床生化學/_topics/肝膽功能酵素指標.md,25,25,1.0000,False,Pending,,
0,醫學分子檢驗學與臨床鏡檢學,尿液沉渣鏡檢學,醫學分子檢驗學與臨床鏡檢學/_topics/尿液沉渣鏡檢學.md,25,25,1.0000,False,Completed,Deployed successfully,2026-07-05 16:30
0,微生物學與臨床微生物學,細菌抗藥性機轉,微生物學與臨床微生物學/_topics/細菌抗藥性機轉.md,23,23,1.0000,False,Completed,Deployed successfully,2026-07-05 18:56
0,醫學分子檢驗學與臨床鏡檢學,病毒分子診斷與監測,醫學分子檢驗學與臨床鏡檢學/_topics/病毒分子診斷與監測.md,23,23,1.0000,False,Completed,Deployed successfully,2026-07-05 19:00
0,醫學分子檢驗學與臨床鏡檢學,顯微鏡原理與應用,醫學分子檢驗學與臨床鏡檢學/_topics/顯微鏡原理與應用.md,23,23,1.0000,False,Completed,Deployed successfully,2026-07-05 20:37
0,微生物學與臨床微生物學,抗真菌藥物,微生物學與臨床微生物學/_topics/抗真菌藥物.md,22,22,1.0000,False,Completed,Deployed successfully,2026-07-05 18:16
0,微生物學與臨床微生物學,絲狀菌：皮癬菌與表淺黴菌,微生物學與臨床微生物學/_topics/絲狀菌：皮癬菌與表淺黴菌.md,22,22,1.0000,False,Completed,Deployed successfully,2026-07-05 18:52
0,微生物學與臨床微生物學,細菌毒素與致病機轉,微生物學與臨床微生物學/_topics/細菌毒素與致病機轉.md,21,21,1.0000,False,Completed,Deployed successfully,2026-07-05 20:59
0,微生物學與臨床微生物學,醫用真菌學總論與鑑定技術,微生物學與臨床微生物學/_topics/醫用真菌學總論與鑑定技術.md,21,21,1.0000,False,Completed,Deployed successfully,2026-07-05 21:06
0,醫學分子檢驗學與臨床鏡檢學,核酸雜交技術,醫學分子檢驗學與臨床鏡檢學/_topics/核酸雜交技術.md,21,21,1.0000,False,Completed,Deployed successfully,2026-07-05 21:11
0,臨床血液學與血庫學,輸血反應,臨床血液學與血庫學/_topics/輸血反應.md,18,18,1.0000,False,Pending,,
0,微生物學與臨床微生物學,絲狀菌：伺機性與全身性黴菌,微生物學與臨床微生物學/_topics/絲狀菌：伺機性與全身性黴菌.md,17,17,1.0000,False,Completed,Deployed successfully,2026-07-05 17:26
0,臨床血液學與血庫學,漿細胞腫瘤,臨床血液學與血庫學/_topics/漿細胞腫瘤.md,17,17,1.0000,False,Pending,,
0,臨床血液學與血庫學,特殊輸血治療,臨床血液學與血庫學/_topics/特殊輸血治療.md,16,16,1.0000,False,Pending,,
0,生物化學與臨床生化學,甲狀腺功能與疾病,生物化學與臨床生化學/_topics/甲狀腺功能與疾病.md,15,15,1.0000,False,Pending,,
0,生物化學與臨床生化學,胰臟及其他臨床酵素,生物化學與臨床生化學/_topics/胰臟及其他臨床酵素.md,15,15,1.0000,False,Pending,,
0,醫學分子檢驗學與臨床鏡檢學,血液惡性腫瘤分子診斷,醫學分子檢驗學與臨床鏡檢學/_topics/血液惡性腫瘤分子診斷.md,15,15,1.0000,False,Completed,Deployed successfully,2026-07-05 21:44
0,臨床血清免疫學與臨床病毒學,第一型過敏反應,臨床血清免疫學與臨床病毒學/_topics/第一型過敏反應.md,13,13,1.0000,False,Pending,,
0,生物化學與臨床生化學,電化學分析與感測器,生物化學與臨床生化學/_topics/電化學分析與感測器.md,12,12,1.0000,False,Pending,,
0,臨床血清免疫學與臨床病毒學,免疫球蛋白的結構與功能,臨床血清免疫學與臨床病毒學/_topics/免疫球蛋白的結構與功能.md,12,12,1.0000,False,Pending,,
0,醫學分子檢驗學與臨床鏡檢學,生物資訊學與數據判讀,醫學分子檢驗學與臨床鏡檢學/_topics/生物資訊學與數據判讀.md,12,12,1.0000,False,Completed,Deployed successfully,2026-07-05 19:50
0,生物化學與臨床生化學,膽紅素代謝與黃疸,生物化學與臨床生化學/_topics/膽紅素代謝與黃疸.md,11,11,1.0000,False,Pending,,
0,臨床血液學與血庫學,抗體篩檢與鑑定,臨床血液學與血庫學/_topics/抗體篩檢與鑑定.md,11,11,1.0000,False,Pending,,
0,臨床血液學與血庫學,慢性淋巴性白血病 (CLL),臨床血液學與血庫學/_topics/慢性淋巴性白血病 (CLL).md,10,10,1.0000,False,Pending,,
0,臨床血清免疫學與臨床病毒學,第四型過敏反應,臨床血清免疫學與臨床病毒學/_topics/第四型過敏反應.md,10,10,1.0000,False,Pending,,
0,臨床血液學與血庫學,交叉試驗與輸血前作業,臨床血液學與血庫學/_topics/交叉試驗與輸血前作業.md,9,9,1.0000,False,Pending,,
0,臨床血清免疫學與臨床病毒學,類風濕性關節炎與其他關節病變,臨床血清免疫學與臨床病毒學/_topics/類風濕性關節炎與其他關節病變.md,9,9,1.0000,False,Pending,,
0,臨床血液學與血庫學,流式細胞分析技術,臨床血液學與血庫學/_topics/流式細胞分析技術.md,8,8,1.0000,False,Pending,,
0,臨床血清免疫學與臨床病毒學,原發性與次發性免疫缺陷症,臨床血清免疫學與臨床病毒學/_topics/原發性與次發性免疫缺陷症.md,8,8,1.0000,False,Pending,,
0,臨床血液學與血庫學,再生不良性貧血與骨髓衰竭,臨床血液學與血庫學/_topics/再生不良性貧血與骨髓衰竭.md,6,6,1.0000,False,Pending,,
0,臨床血液學與血庫學,紅血球膜病變,臨床血液學與血庫學/_topics/紅血球膜病變.md,6,6,1.0000,False,Pending,,
0,生物化學與臨床生化學,腎上腺髓質與兒茶酚胺,生物化學與臨床生化學/_topics/腎上腺髓質與兒茶酚胺.md,5,5,1.0000,False,Pending,,
0,生物化學與臨床生化學,骨骼代謝生物標記,生物化學與臨床生化學/_topics/骨骼代謝生物標記.md,5,5,1.0000,False,Pending,,
0,臨床生理學與病理學,乳房病理學,臨床生理學與病理學/_topics/乳房病理學.md,4,4,1.0000,False,Pending,,
0,臨床生理學與病理學,血液動力學障礙、血栓與休克,臨床生理學與病理學/_topics/血液動力學障礙、血栓與休克.md,1,1,1.0000,False,Pending,,
0,臨床血液學與血庫學,分子診斷技術原理與應用,臨床血液學與血庫學/_topics/分子診斷技術原理與應用.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,臨床血液學與血庫學,造血幹細胞移植與來源比較,臨床血液學與血庫學/_topics/造血幹細胞移植與來源比較.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,臨床血清免疫學與臨床病毒學,全身性紅斑性狼瘡 (SLE),臨床血清免疫學與臨床病毒學/_topics/全身性紅斑性狼瘡 (SLE).md,0,0,0.0000,True,Completed,Skipped: No questions,
0,臨床血清免疫學與臨床病毒學,抗原呈現與主要組織相容性複合體 (MHC),臨床血清免疫學與臨床病毒學/_topics/抗原呈現與主要組織相容性複合體 (MHC).md,0,0,0.0000,True,Completed,Skipped: No questions,
0,臨床血清免疫學與臨床病毒學,腸胃炎相關病毒,臨床血清免疫學與臨床病毒學/_topics/腸胃炎相關病毒.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,臨床血清免疫學與臨床病毒學,酵素連結免疫吸附分析法 (ELISA),臨床血清免疫學與臨床病毒學/_topics/酵素連結免疫吸附分析法 (ELISA).md,0,0,0.0000,True,Completed,Skipped: No questions,
0,醫學分子檢驗學與臨床鏡檢學,分子診斷試驗性能評估,醫學分子檢驗學與臨床鏡檢學/_topics/分子診斷試驗性能評估.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,醫學分子檢驗學與臨床鏡檢學,實驗室品質管理與試劑管理,醫學分子檢驗學與臨床鏡檢學/_topics/實驗室品質管理與試劑管理.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,醫學分子檢驗學與臨床鏡檢學,檢體保存與抗凝劑原理,醫學分子檢驗學與臨床鏡檢學/_topics/檢體保存與抗凝劑原理.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,醫學分子檢驗學與臨床鏡檢學,細菌抗藥性機制,醫學分子檢驗學與臨床鏡檢學/_topics/細菌抗藥性機制.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,醫學分子檢驗學與臨床鏡檢學,腫瘤標記與癌症診斷,醫學分子檢驗學與臨床鏡檢學/_topics/腫瘤標記與癌症診斷.md,0,0,0.0000,True,Completed,Skipped: No questions,
0,醫學分子檢驗學與臨床鏡檢學,醫學檢驗室品質管理與法規,醫學分子檢驗學與臨床鏡檢學/_topics/醫學檢驗室品質管理與法規.md,0,0,0.0000,True,Completed,Skipped: No questions,
